Any,nomCom,F_MORTS
2010,Alt Camp,4
2010,Alt Empordà,19
2010,Alt Penedès,6
2010,Alt Urgell,4
2010,Alta Ribagorça,0
2010,Anoia,4
2010,Bages,23
2010,Baix Camp,14
2010,Baix Ebre,11
2010,Baix Empordà,13
2010,Baix Llobregat,6
2010,Baix Penedès,8
2010,Barcelonès,55
2010,Berguedà,3
2010,Cerdanya,5
2010,Conca de Barberà,3
2010,Garraf,3
2010,Garrigues,1
2010,Garrotxa,7
2010,Gironès,17
2010,Maresme,10
2010,Moianès,1
2010,Montsià,15
2010,Noguera,12
2010,Osona,8
2010,Pallars Jussà,1
2010,Pallars Sobirà,0
2010,Pla d'Urgell,6
2010,Pla de l'Estany,3
2010,Priorat,1
2010,Ribera d'Ebre,3
2010,Ripollès,4
2010,Segarra,3
2010,Segrià,9
2010,Selva,12
2010,Solsonès,1
2010,Tarragonès,7
2010,Terra Alta,0
2010,Urgell,2
2010,Val d'Aran,1
2010,Vallès Occidental,21
2010,Vallès Oriental,13
2011,Alt Camp,2
2011,Alt Empordà,14
2011,Alt Penedès,6
2011,Alt Urgell,4
2011,Alta Ribagorça,0
2011,Anoia,3
2011,Bages,11
2011,Baix Camp,6
2011,Baix Ebre,14
2011,Baix Empordà,4
2011,Baix Llobregat,10
2011,Baix Penedès,2
2011,Barcelonès,35
2011,Berguedà,5
2011,Cerdanya,2
2011,Conca de Barberà,3
2011,Garraf,3
2011,Garrigues,5
2011,Garrotxa,7
2011,Gironès,11
2011,Maresme,6
2011,Moianès,0
2011,Montsià,4
2011,Noguera,9
2011,Osona,11
2011,Pallars Jussà,1
2011,Pallars Sobirà,0
2011,Pla d'Urgell,1
2011,Pla de l'Estany,6
2011,Priorat,4
2011,Ribera d'Ebre,3
2011,Ripollès,3
2011,Segarra,4
2011,Segrià,6
2011,Selva,20
2011,Solsonès,2
2011,Tarragonès,17
2011,Terra Alta,1
2011,Urgell,4
2011,Val d'Aran,0
2011,Vallès Occidental,18
2011,Vallès Oriental,13
2012,Alt Camp,2
2012,Alt Empordà,17
2012,Alt Penedès,10
2012,Alt Urgell,4
2012,Alta Ribagorça,1
2012,Anoia,8
2012,Bages,19
2012,Baix Camp,6
2012,Baix Ebre,8
2012,Baix Empordà,5
2012,Baix Llobregat,17
2012,Baix Penedès,4
2012,Barcelonès,38
2012,Berguedà,1
2012,Cerdanya,1
2012,Conca de Barberà,1
2012,Garraf,3
2012,Garrigues,5
2012,Garrotxa,2
2012,Gironès,11
2012,Maresme,7
2012,Moianès,2
2012,Montsià,4
2012,Noguera,17
2012,Osona,3
2012,Pallars Jussà,2
2012,Pallars Sobirà,1
2012,Pla d'Urgell,3
2012,Pla de l'Estany,1
2012,Priorat,1
2012,Ribera d'Ebre,0
2012,Ripollès,1
2012,Segarra,3
2012,Segrià,9
2012,Selva,19
2012,Solsonès,4
2012,Tarragonès,6
2012,Terra Alta,1
2012,Urgell,1
2012,Val d'Aran,0
2012,Vallès Occidental,16
2012,Vallès Oriental,10
2013,Alt Camp,0
2013,Alt Empordà,11
2013,Alt Penedès,7
2013,Alt Urgell,4
2013,Alta Ribagorça,0
2013,Anoia,8
2013,Bages,8
2013,Baix Camp,7
2013,Baix Ebre,10
2013,Baix Empordà,4
2013,Baix Llobregat,12
2013,Baix Penedès,5
2013,Barcelonès,31
2013,Berguedà,6
2013,Cerdanya,2
2013,Conca de Barberà,2
2013,Garraf,4
2013,Garrigues,6
2013,Garrotxa,2
2013,Gironès,4
2013,Maresme,4
2013,Moianès,1
2013,Montsià,3
2013,Noguera,2
2013,Osona,2
2013,Pallars Jussà,1
2013,Pallars Sobirà,0
2013,Pla d'Urgell,4
2013,Pla de l'Estany,3
2013,Priorat,0
2013,Ribera d'Ebre,1
2013,Ripollès,6
2013,Segarra,2
2013,Segrià,15
2013,Selva,9
2013,Solsonès,0
2013,Tarragonès,7
2013,Terra Alta,0
2013,Urgell,5
2013,Val d'Aran,0
2013,Vallès Occidental,22
2013,Vallès Oriental,12
2014,Alt Camp,6
2014,Alt Empordà,6
2014,Alt Penedès,8
2014,Alt Urgell,2
2014,Alta Ribagorça,1
2014,Anoia,6
2014,Bages,10
2014,Baix Camp,12
2014,Baix Ebre,5
2014,Baix Empordà,3
2014,Baix Llobregat,17
2014,Baix Penedès,2
2014,Barcelonès,42
2014,Berguedà,2
2014,Cerdanya,1
2014,Conca de Barberà,2
2014,Garraf,5
2014,Garrigues,2
2014,Garrotxa,0
2014,Gironès,5
2014,Maresme,3
2014,Moianès,1
2014,Montsià,7
2014,Noguera,9
2014,Osona,2
2014,Pallars Jussà,0
2014,Pallars Sobirà,2
2014,Pla d'Urgell,2
2014,Pla de l'Estany,1
2014,Priorat,0
2014,Ribera d'Ebre,4
2014,Ripollès,1
2014,Segarra,4
2014,Segrià,5
2014,Selva,7
2014,Solsonès,2
2014,Tarragonès,6
2014,Terra Alta,1
2014,Urgell,3
2014,Val d'Aran,1
2014,Vallès Occidental,20
2014,Vallès Oriental,12
2015,Alt Camp,5
2015,Alt Empordà,11
2015,Alt Penedès,7
2015,Alt Urgell,3
2015,Alta Ribagorça,0
2015,Anoia,6
2015,Bages,5
2015,Baix Camp,17
2015,Baix Ebre,17
2015,Baix Empordà,11
2015,Baix Llobregat,9
2015,Baix Penedès,3
2015,Barcelonès,33
2015,Berguedà,4
2015,Cerdanya,3
2015,Conca de Barberà,1
2015,Garraf,8
2015,Garrigues,1
2015,Garrotxa,2
2015,Gironès,6
2015,Maresme,7
2015,Moianès,1
2015,Montsià,0
2015,Noguera,5
2015,Osona,7
2015,Pallars Jussà,1
2015,Pallars Sobirà,3
2015,Pla d'Urgell,5
2015,Pla de l'Estany,0
2015,Priorat,3
2015,Ribera d'Ebre,5
2015,Ripollès,1
2015,Segarra,3
2015,Segrià,15
2015,Selva,6
2015,Solsonès,1
2015,Tarragonès,14
2015,Terra Alta,2
2015,Urgell,4
2015,Val d'Aran,2
2015,Vallès Occidental,14
2015,Vallès Oriental,10
2016,Alt Camp,3
2016,Alt Empordà,13
2016,Alt Penedès,0
2016,Alt Urgell,3
2016,Alta Ribagorça,0
2016,Anoia,3
2016,Bages,8
2016,Baix Camp,5
2016,Baix Ebre,9
2016,Baix Empordà,4
2016,Baix Llobregat,7
2016,Baix Penedès,2
2016,Barcelonès,42
2016,Berguedà,1
2016,Cerdanya,1
2016,Conca de Barberà,3
2016,Garraf,7
2016,Garrigues,1
2016,Garrotxa,4
2016,Gironès,4
2016,Maresme,6
